Year,Month,Metro Line,Passengers,Population,Passengers Per Capita
2019,April,M1,12739273,15462452,0.8238844007405811
2019,August,M1,10951303,15462452,0.708251382122318
2019,December,M1,13077123,15462452,0.8457341047849332
2019,February,M1,11858209,15462452,0.7669035286253435
2019,January,M1,12672664,15462452,0.8195766104884271
2019,July,M1,11835554,15462452,0.7654383664376129
2019,June,M1,11491621,15462452,0.7431952577767097
2019,March,M1,13666754,15462452,0.883867190016176
2019,May,M1,11975235,15462452,0.7744719272208573
2019,November,M1,13181093,15462452,0.8524581353591267
2019,October,M1,13503198,15462452,0.873289566234385
2019,September,M1,12521786,15462452,0.8098189084111628
2019,April,M2,14116730,15462452,0.9129683959568637
2019,August,M2,10798421,15462452,0.6983640757623694
2019,December,M2,15758262,15462452,1.0191308597109954
2019,February,M2,12335048,15462452,0.7977420398782806
2019,January,M2,12667990,15462452,0.8192743298410886
2019,July,M2,12398542,15462452,0.8018483743716714
2019,June,M2,11038438,15462452,0.7138866461800496
2019,March,M2,14096273,15462452,0.911645384574193
2019,May,M2,13327726,15462452,0.8619413014184296
2019,November,M2,15343155,15462452,0.9922847294853365
2019,October,M2,15734674,15462452,1.0176053578048294
2019,September,M2,13405833,15462452,0.8669926994761245
2019,April,M3,1978567,15462452,0.12795945946994694
2019,August,M3,1688545,15462452,0.10920292590075623
2019,December,M3,2200885,15462452,0.14233738607563665
2019,February,M3,1800464,15462452,0.11644104052837156
2019,January,M3,1888377,15462452,0.12212662002119716
2019,July,M3,1961692,15462452,0.12686810604165497
2019,June,M3,1735904,15462452,0.11226576483471057
2019,March,M3,2052016,15462452,0.13270961164503534
2019,May,M3,2018547,15462452,0.13054507784405733
2019,November,M3,2182766,15462452,0.1411655796894309
2019,October,M3,2200519,15462452,0.1423137158323919
2019,September,M3,1965097,15462452,0.12708831691118588
2019,April,M4,7540661,15462452,0.4876756286777802
2019,August,M4,5619020,15462452,0.36339773277873394
2019,December,M4,8263123,15462452,0.5343992660413756
2019,February,M4,7501347,15462452,0.48513308238563974
2019,January,M4,8235695,15462452,0.5326254205995271
2019,July,M4,6458138,15462452,0.4176658398034154
2019,June,M4,6267853,15462452,0.4053595768640058
2019,March,M4,8371854,15462452,0.5414312037961378
2019,May,M4,7012660,15462452,0.4535283278486491
2019,November,M4,8139020,15462452,0.5263731780703345
2019,October,M4,8182586,15462452,0.5291907130900066
2019,September,M4,7030438,15462452,0.4546780808115039
2019,April,M5,5424559,15462452,0.35082139624426967
2019,August,M5,4531830,15462452,0.2930861159666009
2019,December,M5,6841077,15462452,0.4424315755353679
2019,February,M5,4724042,15462452,0.30551700338342197
