Year,Month,Metro Line,Passengers
2019,April,M1,12739273
2019,August,M1,10951303
2019,December,M1,13077123
2019,February,M1,11858209
2019,January,M1,12672664
2019,July,M1,11835554
2019,June,M1,11491621
2019,March,M1,13666754
2019,May,M1,11975235
2019,November,M1,13181093
2019,October,M1,13503198
2019,September,M1,12521786
2019,April,M2,14116730
2019,August,M2,10798421
2019,December,M2,15758262
2019,February,M2,12335048
2019,January,M2,12667990
2019,July,M2,12398542
2019,June,M2,11038438
2019,March,M2,14096273
2019,May,M2,13327726
2019,November,M2,15343155
2019,October,M2,15734674
2019,September,M2,13405833
2019,April,M3,1978567
2019,August,M3,1688545
2019,December,M3,2200885
2019,February,M3,1800464
2019,January,M3,1888377
2019,July,M3,1961692
2019,June,M3,1735904
2019,March,M3,2052016
2019,May,M3,2018547
2019,November,M3,2182766
2019,October,M3,2200519
2019,September,M3,1965097
2019,April,M4,7540661
2019,August,M4,5619020
2019,December,M4,8263123
2019,February,M4,7501347
2019,January,M4,8235695
2019,July,M4,6458138
2019,June,M4,6267853
2019,March,M4,8371854
2019,May,M4,7012660
2019,November,M4,8139020
2019,October,M4,8182586
2019,September,M4,7030438
2019,April,M5,5424559
2019,August,M5,4531830
2019,December,M5,6841077
2019,February,M5,4724042
2019,January,M5,4847065
2019,July,M5,5294977
2019,June,M5,5004444
2019,March,M5,5624058
2019,May,M5,5289731
2019,November,M5,6721654
2019,October,M5,6674127
2019,September,M5,5543827
2019,April,M6,536731
2019,August,M6,325698
2019,December,M6,649768
2019,February,M6,492783
2019,January,M6,427178
2019,July,M6,434076
2019,June,M6,371003
2019,March,M6,556271
2019,May,M6,525911
2019,November,M6,614781
2019,October,M6,637935
2019,September,M6,498858
2023,April,F1,846372
2023,August,F1,839022
2023,December,F1,948270
2023,February,F1,793964
2023,January,F1,866203
2023,July,F1,854862
2023,June,F1,860327
2023,March,F1,876984
2023,May,F1,926774
2023,November,F1,909620
2023,October,F1,975304
2023,September,F1,903968
2023,April,F4,391726
2023,August,F4,401224
2023,December,F4,462516
2023,February,F4,351762
2023,January,F4,395257
2023,July,F4,412983
2023,June,F4,406123
2023,March,F4,408907
2023,May,F4,428835
2023,November,F4,442837
2023,October,F4,479606
2023,September,F4,440292
2023,April,M7,5930588
2023,August,M7,5625815
2023,December,M7,7260923
2023,February,M7,5105665
2023,January,M7,6077035
2023,July,M7,5586890
2023,June,M7,5794005
2023,March,M7,6152848
2023,May,M7,6423224
2023,November,M7,7030355
2023,October,M7,7475967
2023,September,M7,6105585
2023,April,M8,1128545
2023,August,M8,1161220
2023,December,M8,1839093
2023,February,M8,909285
2023,January,M8,885182
2023,July,M8,1192803
2023,June,M8,1225724
2023,March,M8,1162089
2023,May,M8,1318955
2023,November,M8,1694112
2023,October,M8,1796012
2023,September,M8,1403351
2023,April,M9,528284
2023,August,M9,488987
2023,December,M9,595104
2023,February,M9,485658
2023,January,M9,572489
2023,July,M9,489548
2023,June,M9,491804
2023,March,M9,563170
2023,May,M9,520711
2023,November,M9,540753
2023,October,M9,569480
2023,September,M9,516602
2023,April,T1,10496764
2023,August,T1,11078175
2023,December,T1,10903292
2023,February,T1,9396008
2023,January,T1,11015550
2023,July,T1,10943441
2023,June,T1,11114185
2023,March,T1,10901914
2023,May,T1,11938088
2023,November,T1,10708872
2023,October,T1,12356809
2023,September,T1,11187379
2023,April,T3,260173
2023,August,T3,264987
2023,December,T3,284378
2023,February,T3,223005
2023,January,T3,241589
2023,July,T3,258419
2023,June,T3,260679
2023,March,T3,270554
2023,May,T3,278244
2023,November,T3,273664
2023,October,T3,301099
2023,September,T3,282568
2023,April,T4,2829395
2023,August,T4,2891056
2023,December,T4,3112438
2023,February,T4,2483767
2023,January,T4,2770592
2023,July,T4,2937282
2023,June,T4,2953425
2023,March,T4,3009763
2023,May,T4,3129384
2023,November,T4,3030645
2023,October,T4,3419587
2023,September,T4,3092393
2023,April,T5,1183689
2023,August,T5,1232090
2023,December,T5,1372933
2023,February,T5,1136978
2023,January,T5,1174496
2023,July,T5,1257489
2023,June,T5,1230466
2023,March,T5,1245343
2023,May,T5,1292387
2023,November,T5,1323681
2023,October,T5,1389044
2023,September,T5,1314856
2023,April,TF1,222073
2023,August,TF1,227326
2023,December,TF1,257317
2023,February,TF1,210979
2023,January,TF1,225518
2023,July,TF1,233067
2023,June,TF1,229518
2023,March,TF1,231047
2023,May,TF1,243186
2023,November,TF1,248038
2023,October,TF1,267500
2023,September,TF1,245840
2023,April,TF2,111346
2023,August,TF2,111452
2023,December,TF2,124528
2023,February,TF2,102923
2023,January,TF2,113477
2023,July,TF2,115732
2023,June,TF2,114520
2023,March,TF2,117903
2023,May,TF2,120649
2023,November,TF2,118973
2023,October,TF2,128296
2023,September,TF2,119308
2024,April,F1,990842
2024,August,F1,1013125
2024,December,F1,1154483
2024,February,F1,945130
2024,January,F1,987214
2024,July,F1,1041329
2024,June,F1,1030521
2024,March,F1,1028392
2024,May,F1,1082891
2024,November,F1,1117470
2024,October,F1,1187095
2024,September,F1,1100562
2024,April,F4,487206
2024,August,F4,502167
2024,December,F4,577614
2024,February,F4,451276
2024,January,F4,472391
2024,July,F4,515773
2024,June,F4,507172
2024,March,F4,502146
2024,May,F4,531897
2024,November,F4,553380
2024,October,F4,588696
2024,September,F4,545964
2024,April,M1,10726234
2024,August,M1,9505399
2024,December,M1,11050149
2024,February,M1,11258179
2024,January,M1,11384950
2024,July,M1,10789194
2024,June,M1,10744934
2024,March,M1,11368103
2024,May,M1,11608943
2024,November,M1,10916875
2024,October,M1,11381462
2024,September,M1,9969933
2024,April,M2,12786132
2024,August,M2,13700000
2024,December,M2,14700000
2024,February,M2,13964497
2024,January,M2,14374442
2024,July,M2,13500000
2024,June,M2,13000000
2024,March,M2,13219514
2024,May,M2,12000000
2024,November,M2,14500000
2024,October,M2,14200000
2024,September,M2,13850000
2024,April,M3,4040126
2024,August,M3,5865437
2024,December,M3,4963695
2024,February,M3,2851618
2024,January,M3,2853939
2024,July,M3,5658852
2024,June,M3,5307317
2024,March,M3,3849003
2024,May,M3,3898980
2024,November,M3,4873003
2024,October,M3,4882172
2024,September,M3,5626911
2024,April,M4,8989980
2024,August,M4,9505770
2024,December,M4,10292174
2024,February,M4,9526108
2024,January,M4,9413824
2024,July,M4,9182366
2024,June,M4,9218336
2024,March,M4,9756292
2024,May,M4,9300901
2024,November,M4,9807393
2024,October,M4,9365675
2024,September,M4,9250374
2024,April,M5,8758152
2024,August,M5,8750570
2024,December,M5,8952489
2024,February,M5,8348098
2024,January,M5,8144812
2024,July,M5,8509181
2024,June,M5,8661491
2024,March,M5,8540258
2024,May,M5,8765152
2024,November,M5,8747900
2024,October,M5,8365675
2024,September,M5,8490154
2024,April,M6,7206654
2024,August,M6,8286383
2024,December,M6,9032271
2024,February,M6,6988766
2024,January,M6,6800169
2024,July,M6,8221544
2024,June,M6,7377542
2024,March,M6,6478001
2024,May,M6,6956474
2024,November,M6,8808654
2024,October,M6,8650678
2024,September,M6,8473124
2024,April,M7,6478001
2024,August,M7,8286383
2024,December,M7,9032271
2024,February,M7,6525179
2024,January,M7,6800169
2024,July,M7,8221544
2024,June,M7,7377542
2024,March,M7,6988766
2024,May,M7,7206654
2024,November,M7,8808654
2024,October,M7,8650678
2024,September,M7,8473124
2024,April,M8,1869289
2024,August,M8,1612136
2024,December,M8,2320460
2024,February,M8,1736023
2024,January,M8,1651261
2024,July,M8,1740886
2024,June,M8,1740020
2024,March,M8,1907075
2024,May,M8,2158721
2024,November,M8,2182689
2024,October,M8,2289272
2024,September,M8,1822544
2024,April,M9,1516442
2024,August,M9,1695504
2024,December,M9,2075775
2024,February,M9,568568
2024,January,M9,591456
2024,July,M9,1742528
2024,June,M9,1553155
2024,March,M9,1000108
2024,May,M9,1823497
2024,November,M9,2000297
2024,October,M9,2002948
2024,September,M9,1683381
2024,April,T1,10661491
2024,August,T1,10494854
2024,December,T1,10552817
2024,February,T1,10540258
2024,January,T1,10229307
2024,July,T1,10380187
2024,June,T1,9806487
2024,March,T1,10765152
2024,May,T1,11739464
2024,November,T1,10538573
2024,October,T1,11659758
2024,September,T1,10546682
2024,April,T3,274318
2024,August,T3,281974
2024,December,T3,307923
2024,February,T3,248746
2024,January,T3,256993
2024,July,T3,274889
2024,June,T3,273598
2024,March,T3,278642
2024,May,T3,295111
2024,November,T3,298642
2024,October,T3,319486
2024,September,T3,301763
2024,April,T4,3120174
2024,August,T4,3219784
2024,December,T4,3594051
2024,February,T4,2987901
2024,January,T4,3064325
2024,July,T4,3289044
2024,June,T4,3230411
2024,March,T4,3174213
2024,May,T4,3348173
2024,November,T4,3491827
2024,October,T4,3713059
2024,September,T4,3483642
2024,April,T5,1432289
2024,August,T5,1496532
2024,December,T5,1684891
2024,February,T5,1358799
2024,January,T5,1402586
2024,July,T5,1524705
2024,June,T5,1492731
2024,March,T5,1496175
2024,May,T5,1567306
2024,November,T5,1618082
2024,October,T5,1697376
2024,September,T5,1605442
2024,April,TF1,272398
2024,August,TF1,281160
2024,December,TF1,323787
2024,February,TF1,255304
2024,January,TF1,265193
2024,July,TF1,288729
